TOTPOP	LIFEXPB.M	LIFEXPB.F	LIFEXPB.B	HLIFEXP	MATMORT	MEDBIRTHS	MORTLT5YO	NEONMORT	NEWHIV	TBINC	MALARIA	HEPBVACC	INTINTDS	PRMORT3070	SUICIDE	ALCONS	MORTRAFF	MODFAMPLAN	ADOBIRTHS	MORTAIR	MORTWASH	MORTPOIS	SMOK.M	SMOK.F	DRDENS	AVEI13HRCCS	STUNT5YO	WAST5YO	OW5YO	BETTERH2O	BETTERSAN	CLEANFUEL	AVEPM2.5	DEATHND	HOMICIDE	DEATHCONF
Thailand	67959	71.9	78	74.9	66.8	20	100	12.3	6.7	0.2	171	6.5	99	41360	16.2	13.1	8.3	36.2	89.2	60	65.3	1.9	0.1	41.4	2.3	24.7	98	16.3	6.7	10.9	98	93	76	27.5	0.3	5.5	0.7
TheformerYugoslavRepublicofMacedonia	2078	73.5	77.8	75.7	67.5	8	100	5.5	3.5	1.56330275229358	15	96.9644230769231	97	27	22.1	6.7	5.7	9.4	22.3	18.7	128.9	0.1	0.6	34.09765625	11.64921875	26.2	86	4.9	1.8	12.4	99	91	61	43	0	1.8	0.3
Timor-Leste	1185	66.6	70.1	68.3	60.7	215	29	52.6	22.3	1.56330275229358	498	89.7	77	1108842	23.7	5.4	1.2	16.6	38.3	50	89.6	10.3	0.8	34.09765625	11.64921875	11.9	71	50.2	11	1.5	72	41	5	15	0	4.9	0
Togo	7305	58.6	61.1	59.9	52.8	368	45	78.4	26.7	1	58	378.9	87	4613894	20.2	3.7	1.9	31.1	32.2	85	81	37.9	2.8	34.09765625	11.64921875	3.3	74	27.5	6.7	2	63	12	6	25.9	0	9.3	0
Tonga	106	70.6	76.4	73.5	66	124	96	16.7	6.9	1.56330275229358	14	96.9644230769231	82	36738	19.0162790697674	9.38771929824561	2.1	7.6	47.9	30	63.925	13.2813953488372	2.26162790697674	47.3	13	44.5	74	8.1	5.2	17.3	100	91	63	28.9183333333333	0	4.7	3.5093023255814
TrinidadandTobago	1360	67.9	74.8	71.2	63.3	63	100	20.4	13.2	1.56330275229358	22	96.9644230769231	92	23048	26.2	14.4	6.6	14.1	55.1	35.5	27.9	0.2	0.3	34.09765625	11.64921875	47.4	71	23.1518796992481	6.13282442748092	7.05748031496063	95	92	95	13.2	0	35.3	0
Tunisia	11254	73	77.8	75.3	66.7	62	74	14	8.2	0.1	33	96.9644230769231	98	3737	17.2	2.4	1.2	24.4	73.2	6.7	43.7	0.8	1.2	34.09765625	11.64921875	45	65	10.1	2.8	14.3	98	92	95	36.4	0	1.8	0.3
Turkey	78666	72.6	78.9	75.8	66.2	16	97	13.5	7.1	1.56330275229358	18	4.3	96	1215	18.4	8	2.4	8.9	59.7	29	51	0.8	0.7	39.5	12.4	41.1	78	9.5	1.7	10.9	100	95	62.9427083333333	35.7	0.2	2.7	0.8
Turkmenistan	5374	62.2	70.5	66.3	59.8	42	100	51.4	22.6	1.56330275229358	64	0	97	77	40.8	19.4	5	17.4	54.7065573770492	21	72.9	5.8	1.9	34.09765625	11.64921875	57.1443113772455	84	18.9	7.2	4.5	89.2513661202186	73.0714285714286	95	26.3	0	4.3	0.1
Tuvalu	10	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	93	27.1	17.6	1.56330275229358	190	96.9644230769231	90	11772	19.0162790697674	9.38771929824561	1.3	17.089417989418	41	42	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	69.1	89	10	3.3	6.3	98	73.0714285714286	30	28.9183333333333	0.224590163934426	4.2	3.5093023255814
Uganda	39032	60.3	64.3	62.3	54	343	58	54.6	18.7	6	161	231.8	78	25344345	21.2	11.9	10.5	27.4	44.7	140	70	30.3	5.1	16.4	2.9	14.2	73	34.2	4.3	5.8	79	19	5	80.3	0.1	12	1.9
Ukraine	44824	66.3	76.1	71.3	64.1	24	99	9	5.5	1.56330275229358	94	96.9644230769231	46	9817345.07954546	28.2	20.1	11.8	10.6	68	27.2	139.1	0.4	5.7	49.4	14	112.1	99	23.1518796992481	6.13282442748092	7.05748031496063	96	96	95	17	0.1	5.2	6.2
UnitedArabEmirates	9157	76.4	78.6	77.1	67.9	6	100	6.8	3.5	1.56330275229358	1.6	96.9644230769231	94	57	18.9	3	4.3	10.9	54.7065573770492	34.2	7.5	0.1	0.6	34.09765625	11.64921875	56.9	97	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	64.5	0	4.1	0.1
UnitedKingdom	64716	79.4	83	81.2	71.4	9	84.2762430939227	4.2	2.4	1.56330275229358	12	96.9644230769231	87.7228260869565	159	12	7	12	2.9	54.7065573770492	19.3	25.7	0.4	1	19.9	18.4	116.1	73.1822916666667	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	12.5	0.1	1.5	0.1
UnitedRepublicofTanzania	53470	59.9	63.8	61.8	54.1	398	49	48.7	18.8	2.6	327	130.6	97	33868257	16.1	15.1	8.1	32.9	45.9	72.1	50.5	27.6	6.6	27.5	3.8	4.7	67	34.7	3.8	5.2	56	16	5	24.1	0.1	8	0.1
UnitedStatesofAmerica	321774	76.9	81.6	79.3	69.1	14	99	6.5	3.6	1.56330275229358	3.1	96.9644230769231	90	712	14.3	13.7	9	10.6	83.4	26.6	12.1	0.6	4.3	19.5	15	122.7	91	2.1	0.5	6	99	100	95	8.5	0.1	5.4	0.1
Uruguay	3432	73.3	80.4	77	67.9	15	98	10.1	5.1	0.4	30	96.9644230769231	95	4	17.1	13.8	7	16.6	54.7065573770492	63.5	22.7	0.3	0.9	26.7	19.4	92.8	84	10.7	1.3	7.2	100	96	95	11.6	0	7.9	0
Uzbekistan	29893	66.1	72.7	69.4	62.4	36	100	39.1	20.4	0.1	82	0	99	394573	31	7.7	4.8	11.2	54.7065573770492	29.5	83.2	2.4	1.1	24.9	1.3	144.7	83	19.6	4.5	12.8	89.2513661202186	100	90	39.1	0.1	3.2	0
Vanuatu	265	70.1	74	72	64.6	78	89	27.5	11.6	1.56330275229358	63	31.3	64	268165	19.0162790697674	9.38771929824561	1.2	16.6	50.7	78	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	18.1	43	28.5	4.4	4.6	95	58	16	13	0.9	2.9	3.5093023255814
Venezuela(BolivarianRepublicof)	31108	70	78.5	74.1	65.2	95	100	14.9	8.9	0.3	24	40.7	78	219026	15.7	2.6	8.3	45.1	54.7065573770492	94.5	20.9	1.3	0.6	34.09765625	11.64921875	57.1443113772455	95	13.4	4.1	6.4	93	94	95	24.3	0.1	57.6	0.1
VietNam	93448	71.3	80.7	76	66.6	54	94	21.7	11.4	0.3	140	0.9	95	8965475	17.4	5.1	8.7	24.5	69.7	36	84	2	0.9	47.1	1.3	24.3	99	19.4	5.7	4.6	98	78	51	28.7	0.1	4	0
Yemen	26832	64.3	67.2	65.7	57.7	385	43	41.9	22.1	0.1	48	34.7	88	15458773	23.1	3.1	0.2	21.5	47	67	57.4	13	4.2	34.09765625	11.64921875	8.7	46	46.8	16.2	2.5	89.2513661202186	73.0714285714286	62	42.2	0.1	5.4	14.3
Zambia	16212	59	64.7	61.8	53.6	224	64	64	21.4	7.5	406	214.2	86	11466594	18.1	9.6	4	24.7	63.8	145	64.1	24.5	7.9	26.5	4.6	9.6	92	40	6.3	6.2	65	44	16	29.6	0	10.5	0
Zimbabwe	15603	59	62.3	60.7	52.3	443	80	70.7	23.5	9.2	278	138.9	91	7044670	19.3	16.6	4.8	28.2	86	120	52.6	27.1	4.4	31.2	2.1	14.2	68	27.6	3.3	3.6	77	37	31	24.1	0.2	15.1	0.1
