TOTPOP	LIFEXPB.M	LIFEXPB.F	LIFEXPB.B	HLIFEXP	MATMORT	MEDBIRTHS	MORTLT5YO	NEONMORT	NEWHIV	TBINC	MALARIA	HEPBVACC	INTINTDS	PRMORT3070	SUICIDE	ALCONS	MORTRAFF	MODFAMPLAN	ADOBIRTHS	MORTAIR	MORTWASH	MORTPOIS	SMOK.M	SMOK.F	DRDENS	AVEI13HRCCS	STUNT5YO	WAST5YO	OW5YO	BETTERH2O	BETTERSAN	CLEANFUEL	AVEPM2.5	DEATHND	HOMICIDE	DEATHCONF
Ethiopia	99391	62.8	66.8	64.8	56.1	353	16	59.2	27.7	1.56330275229358	207	117.8	77	67843988	15.2	7.5	4.3	25.3	57.6	71.2	56.8	29.6	3.5	8.9	0.5	2.8	78	40.4	8.7	2.6	57	28	5	36.7	0	8	0.2
Fiji	892	67	73.1	69.9	62.9	30	99	22.4	9.6	0.2	67	96.9644230769231	99	899436	30.8	5.9	3.2	5.8	54.7065573770492	27.5	76.9	3	4.7	38.7	12.4	26.7	98	23.1518796992481	6.13282442748092	7.05748031496063	96	91	37	11.4	0.4	2.3	0
Finland	5503	78.3	83.8	81.1	71	3	100	2.3	1.3	1.56330275229358	5.6	96.9644230769231	87.7228260869565	0	11.2	16.7	11.9	4.8	54.7065573770492	7.3	6	0.2	1.5	23.2	18.5	137.7	96	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	7.1	0	1.4	0.1
France	64395	79.4	85.4	82.4	72.6	8	98	4.3	2.2	1.56330275229358	8.7	96.9644230769231	82	178	11.4	15.8	11.6	5.1	95.5	6.2	17.2	0.5	2	29.8	25.6	124.9	94	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	12.7	0.1	1	0.1
Gabon	1725	64.7	67.2	66	57.2	291	89	50.8	23.2	1.4	444	210.6	70	1534672	15	7	11.8	22.9	33.7	115	47	28.1	1.8	34.09765625	11.64921875	57.1443113772455	48	17.5	3.4	7.7	93	42	73	35.9	0	9.3	0
Gambia	1991	59.8	62.5	61.1	53.8	706	57	68.9	29.9	1.1	174	233.1	96	1200503	19.1	3.2	3.2	29.4	23.9	88	70.9	21	1.8	34.09765625	11.64921875	9.7	33	25	11.1	3.2	90	59	5	43	0.1	9.4	0
Georgia	4000	70.3	78.3	74.4	66.5	36	100	11.9	7.2	0.3	106	0	91	79	21.6	3.8	6.7	11.8	52.8	41.5	292.3	0.2	0.9	57.7	5.7	74.9	81	11.3	1.6	19.9	100	86	55	23.3	0.2	4.8	0.1
Germany	80689	78.7	83.4	81	71.3	6	99	3.7	2.1	1.56330275229358	6.2	96.9644230769231	87	265	12.3	13	10.6	4.3	54.7065573770492	7.8	32.5	0.9	0.3	32.4	28.3	136.1	99	1.3	1	3.5	100	99	95	14.5	0.1	0.8	0.1
Ghana	27410	61	63.9	62.4	55.3	319	71	61.6	28.3	0.7	165	318.5	98	18697745	20.3	2.3	5.4	26.2	44.6	65	80.8	20	2.2	13.1	0.4	10.2	69	18.8	4.7	2.6	89	15	21	22.2	0.2	10	0
Greece	10955	78.3	83.6	81	71.9	3	84.2762430939227	4.6	2.9	1.56330275229358	4.8	96.9644230769231	96	73	12.9	4.9	9.3	9.1	54.7065573770492	8.3	45.1	0.1	0.8	52.6	32.7	57.1443113772455	76	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	12.7	0.1	1.6	0.1
Grenada	107	71.2	76.1	73.6	65	27	99	11.8	6	1.56330275229358	1.3	96.9644230769231	97	39	19.0162790697674	9.38771929824561	10.4	17.089417989418	54.7065573770492	55.5403225806452	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	44.9	66	23.1518796992481	6.13282442748092	7.05748031496063	97	98	95	17	0	6.2	3.5093023255814
Guatemala	16343	68.5	75.2	71.9	62.1	88	66	29.1	13.4	0.3	57	2.2	73	3255245	13.5	7.3	3.9	19	65.5	91	42.5	9.2	1.2	34.09765625	11.64921875	18.3	87	48	1.1	4.9	93	64	36	33.7	0.2	39.9	0.2
Guinea	12609	58.2	59.8	59	51.7	679	45	93.7	31.3	1.1	177	403.4	51	8842314	20.9	3.3	0.7	27.3	15.7	146	87.9	40.7	3.1	34.09765625	11.64921875	1.4	57	31.3	9.9	3.8	77	20	6	19.4	0	8.8	0.2
Guinea-Bissau	1844	57.2	60.5	58.9	51.5	549	45	92.5	39.7	2.5	369	112.1	80	1884916	22.4	3.1	4.3	27.5	37.6	136.7	105.2	48.9	3	34.09765625	11.64921875	6.6	50	27.6	6	2.3	79	21	5	28.9	0	10.1	0.1
Guyana	767	63.9	68.5	66.2	58.9	229	92	39.4	22.8	2	103	129.3	98	720357	28.4	34.8	8.6	17.3	52.5	101	42.7	4	0.7	34.09765625	11.64921875	7.5	85	12	6.4	5.3	98	84	61	16.2	0	20.2	0
Haiti	10711	61.5	65.5	63.5	55.4	359	37	69	25.4	1.1	200	13.6	48	11358721	23.9	2.3	5.9	15.1	44.8	66	112.6	28.5	1.9	22.1	2.5	57.1443113772455	48	21.9	5.2	3.6	58	28	9	24.6	0.4	26.6	0
Honduras	8075	72.3	77	74.6	64.9	129	83	20.4	11	0.1	43	3.2	85	2709120	15.7	4.9	4	17.4	76	101	53.2	7.9	0.3	33.3	2.1	14.5	75	22.7	1.4	5.2	91	83	48	40.3	0.1	103.9	0.1
Hungary	9855	72.3	79.1	75.9	67.4	17	99	5.9	3.5	1.56330275229358	12	96.9644230769231	87.7228260869565	2	24	25.4	12.4	7.7	54.7065573770492	19.8	123	0.1	0.9	32	24.8	95.6	91	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	22.9	0	1.5	0
Iceland	329	81.2	84.1	82.7	72.7	3	84.2762430939227	2	0.9	1.56330275229358	3.3	96.9644230769231	87.7228260869565	0	10.2	15.1	6.9	4.6	54.7065573770492	7.1	6.4	0.1	0.5	17	15.1	190.7	84	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	7.7	0	0.6	0
India	1311051	66.9	69.9	68.3	59.5	174	74	47.7	27.7	1.56330275229358	167	23.7	70	577240673	26.2	20.9	4.6	16.6	63.9	28.1	130	27.4	3.2	20.4	1.9	24.1	94	38.7	15.1	1.9	94	40	34	73.6	0.2	4.3	0.1
Indonesia	257564	67.1	71.2	69.1	62.2	126	87	27.2	13.5	0.5	399	41.8	78	127979175	23.1	3.7	0.6	15.3	78.8	47	83.9	3.6	1.1	76.2	3.6	15.9	96	36.4	13.5	11.5	87	61	57	18.1	0.1	4.7	0.1
